package,old.version,old.reproducibility,new.reproducibility,old.names.issues,new.names.issues,old.api.issues,new.api.issues,old.result.issues,new.result.issues
VSURF,1.0.2,2,2,4,0,2,1,3,4
MVN,3.8,1,3,0,0,0,7,0,0
mldr,0.2.51,2,2,1,1,0,0,0,0
fanplot,3.4.1,1,1,0,0,0,0,0,0
Peptides,1.0.4,2,2,0,5,0,0,0,0
cmvnorm,1.0-3,1,1,0,0,0,0,0,0
factorplot,1.1,1,1,0,0,0,0,3,3
FactoMineR,1.3,1,1,0,0,0,0,0,0
gridGraphics,0.1-5,1,3,0,0,0,0,1,3
phaseR,1.3,1,2,0,3,0,0,0,0
betategarch,3,1,1,0,0,0,0,6,6
tempdisagg,0.22,1,1,0,0,0,0,0,0
mvtnorm,0.9-7,2,2,0,0,1,1,0,0
brainR,1.2,1,1,0,0,0,0,0,0
qmethod,1.3.0,2,2,0,0,0,0,1,1
stringdist,0.7.2,1,1,0,0,1,1,1,1
rotations,1.3,3,3,0,0,0,0,3,3
ggmap,2.3,3,3,0,1,0,9,13,2
