"Dataset";"Insert.mean";"Mice_pmm";"VIM_knn";"VIM_hotdeck";"softImpute"
"ipums_la_99-small";0,221;0,201;0,242;0,21;0,221
"adult";0,887;0,889;0,889;0,89;0,887
"eucalyptus";0,857;0,852;0,852;0,857;0,857
"dresses-sales";0,742;0,742;0,742;0,742;0,713
"colic";0,565;0,571;0,605;0,578;0,511
"credit-approval";0,851;NA;0,851;0,851;0,843
"sick";0,98;0,978;0,98;0,978;0,978
"labor";0,667;NA;0,857;0,8;1
"SpeedDating";0,914;0,916;0,916;0,915;0,915
"stem-okcupid";0,883;0,883;0,883;0,883;0,883
"hepatitis";0,667;0,857;0,667;0,667;0,667
"vote";0,949;0,957;0,948;0,957;0,949
"cylinder-bands";0,763;NA;0,685;0,676;0,784
"echoMonths";0,778;NA;0,765;0,788;0,778
