"";"task.id";"learner.id";"mse.test.mean";"mae.test.mean";"rsq.test.mean"
"1";"Brute force";"regr.lm";29,1823649121806;4,30062066144669;0,88908642630914
"2";"Brute force";"regr.glmnet";31,2899812517843;4,48711486459731;0,881550065031613
"3";"Brute force";"regr.glmnet.optimized";29,8529487104456;4,3625274339313;0,886700934771772
"4";"Brute force";"regr.rpart";73,7611405604666;6,73059359471656;0,721959456465732
"5";"Brute force";"regr.ranger";21,5603429939546;3,45364954856109;0,918540756546873
"6";"Brute force";"regr.svm";19,8700231403269;3,30123389562929;0,924787232983105
"7";"By hand";"regr.lm";31,5560094478273;4,45428704336918;0,882099736001743
"8";"By hand";"regr.glmnet";32,1327883695607;4,44175209276462;0,879988058038762
"9";"By hand";"regr.glmnet.optimized";31,576019816282;4,44680237091941;0,882037058657926
"10";"By hand";"regr.rpart";70,0570281540328;6,56489243396003;0,738742636976469
"11";"By hand";"regr.ranger";25,0022178142404;3,83240399462384;0,90686415842268
"12";"By hand";"regr.svm";18,7326622429411;3,19409070485136;0,930038749484442
"13";"Plain concrete data";"regr.lm";110,311063794207;8,31823205678952;0,599772252225149
"14";"Plain concrete data";"regr.glmnet";110,295634486819;8,32705977913484;0,599788997786959
"15";"Plain concrete data";"regr.glmnet.optimized";110,303629001595;8,32017797907583;0,599787720855053
"16";"Plain concrete data";"regr.rpart";86,0613643066016;7,25201571037859;0,687099976219574
"17";"Plain concrete data";"regr.ranger";30,390004563917;4,03384292786329;0,890396910335718
"18";"Plain concrete data";"regr.svm";45,9079829646728;4,91270625507088;0,834285530024648
"19";"W/O outliers/influential";"regr.lm";60,8040921784569;6,23986341109415;0,772154166985926
"20";"W/O outliers/influential";"regr.glmnet";60,8251956705515;6,24694780170259;0,772062913668611
"21";"W/O outliers/influential";"regr.glmnet.optimized";60,805757554579;6,2411071066787;0,772145291938215
"22";"W/O outliers/influential";"regr.rpart";71,0344803533818;6,63196762722823;0,732956393966613
"23";"W/O outliers/influential";"regr.ranger";25,1538542089238;3,86933402166129;0,90513151339428
"24";"W/O outliers/influential";"regr.svm";26,9005278691465;3,90686958272295;0,898529683542402
